clip,id,frame,latitude,longitude
1_06 13 00,113,1220.0,-13.527758275293971,-71.94312634293541
1_06 13 00,113,1221.0,-13.527758251911717,-71.94312635045429
1_06 13 00,113,1222.0,-13.52775802864367,-71.94312645286143
1_06 13 00,113,1223.0,-13.527757830025473,-71.9431265439847
1_06 13 00,113,1224.0,-13.527757754360678,-71.94312657731602
1_06 13 00,113,1225.0,-13.527757687442051,-71.94312660680654
1_06 13 00,113,1226.0,-13.527757628379353,-71.94312663284673
1_06 13 00,113,1227.0,-13.527757456744533,-71.94312669256462
1_06 13 00,113,1228.0,-13.527757304624068,-71.94312674544311
1_06 13 00,113,1229.0,-13.527757188979093,-71.94312680297351
1_06 13 00,113,1230.0,-13.527757086978056,-71.94312685381558
1_06 13 00,113,1231.0,-13.527757016144067,-71.94312690943987
1_06 13 00,113,1232.0,-13.527756954201132,-71.943126958504
1_06 13 00,113,1233.0,-13.527757000305046,-71.94312695437645
1_06 13 00,113,1234.0,-13.52775694249769,-71.94312699744907
1_06 13 00,113,1235.0,-13.527756892118546,-71.94312703528145
1_06 13 00,113,1236.0,-13.527756848378505,-71.9431270684185
1_06 13 00,113,1237.0,-13.527756791663338,-71.94312708657615
