clip,id,frame,latitude,longitude
1_04_13_00,65,2367.0,-13.522814856143242,-71.9614400576181
1_04_13_00,65,2368.0,-13.522814856595614,-71.96144005760634
1_04_13_00,65,2369.0,-13.522814856915769,-71.96144005781268
1_04_13_00,65,2370.0,-13.522814857120602,-71.96144005820548
1_04_13_00,65,2371.0,-13.522814857225239,-71.96144005875657
1_04_13_00,65,2372.0,-13.522814857243182,-71.96144005944089
1_04_13_00,65,2373.0,-13.522814857186503,-71.96144006023627
1_04_13_00,65,2374.0,-13.522814857065963,-71.961440061123
1_04_13_00,65,2375.0,-13.522814856891134,-71.96144006208374
1_04_13_00,65,2376.0,-13.52281485667053,-71.96144006310314
1_04_13_00,65,2377.0,-13.522814856411708,-71.9614400641677
1_04_13_00,65,2378.0,-13.522814856121359,-71.96144006526565
1_04_13_00,65,2379.0,-13.522814855805406,-71.96144006638664
1_04_13_00,65,2380.0,-13.522814855469058,-71.96144006752165
1_04_13_00,65,2381.0,-13.522814855116913,-71.9614400686629
1_04_13_00,65,2382.0,-13.522814854753,-71.96144006980357
1_04_13_00,65,2383.0,-13.522814854380838,-71.96144007093794
1_04_13_00,65,2384.0,-13.522814854003508,-71.96144007206104
1_04_13_00,65,2385.0,-13.522814853623673,-71.96144007316862
1_04_13_00,65,2386.0,-13.522814853243649,-71.96144007425721
1_04_13_00,65,2387.0,-13.522814852865404,-71.9614400753238
1_04_13_00,65,2388.0,-13.522814852490653,-71.96144007636605
1_04_13_00,65,2389.0,-13.522814852120826,-71.96144007738194
1_04_13_00,65,2390.0,-13.52281485175714,-71.96144007837
1_04_13_00,65,2391.0,-13.522814851400609,-71.961440079329
1_04_13_00,65,2392.0,-13.522814851052066,-71.96144008025811
1_04_13_00,65,2393.0,-13.522814850712182,-71.9614400811567
1_04_13_00,65,2394.0,-13.522814850381497,-71.96144008202444
1_04_13_00,65,2395.0,-13.52281485006042,-71.96144008286117
1_04_13_00,65,2396.0,-13.522814849749265,-71.96144008366696
1_04_13_00,65,2397.0,-13.522814849448233,-71.96144008444196
1_04_13_00,65,2398.0,-13.522814849157463,-71.96144008518652
1_04_13_00,65,2399.0,-13.52281484887701,-71.9614400859011
1_04_13_00,65,2400.0,-13.522814848606876,-71.96144008658618
1_04_13_00,65,2401.0,-13.522814829454255,-71.96144012986441
1_04_13_00,65,2402.0,-13.522814812360158,-71.96144016849334
1_04_13_00,65,2403.0,-13.522814797124736,-71.96144020292424
1_04_13_00,65,2404.0,-13.522814783566442,-71.96144023356705
1_04_13_00,65,2405.0,-13.522814771520428,-71.961440260794
1_04_13_00,65,2406.0,-13.522814760837077,-71.96144028494295
1_04_13_00,65,2407.0,-13.522814751380652,-71.96144030632041
1_04_13_00,65,2408.0,-13.522814743028068,-71.96144032520435
1_04_13_00,65,2409.0,-13.52281473566776,-71.9614403418467
1_04_13_00,65,2410.0,-13.522814729198657,-71.9614403564757
1_04_13_00,65,2411.0,-13.522814723529232,-71.96144036929805
1_04_13_00,65,2412.0,-13.522814718576651,-71.9614403805008
1_04_13_00,65,2413.0,-13.522814714265976,-71.96144039025322
1_04_13_00,65,2414.0,-13.522814710529465,-71.96144039870832
1_04_13_00,65,2415.0,-13.522814707305884,-71.96144040600431
1_04_13_00,65,2416.0,-13.522814704539954,-71.96144041226614
1_04_13_00,65,2417.0,-13.522814702181767,-71.96144041760648
1_04_13_00,65,2418.0,-13.522814700186315,-71.96144042212701
1_04_13_00,65,2419.0,-13.522814698513018,-71.96144042591938
1_04_13_00,65,2420.0,-13.522814697125336,-71.96144042906612
1_04_13_00,65,2421.0,-13.522814695990366,-71.96144043164156
1_04_13_00,65,2422.0,-13.522814695078527,-71.96144043371258
1_04_13_00,65,2423.0,-13.52281469436322,-71.96144043533917
1_04_13_00,65,2424.0,-13.522814693820573,-71.96144043657529
1_04_13_00,65,2425.0,-13.522814693429174,-71.96144043746934
1_04_13_00,65,2426.0,-13.522814693169822,-71.96144043806471
1_04_13_00,65,2427.0,-13.522814693025342,-71.96144043840022
1_04_13_00,65,2428.0,-13.522814692980361,-71.96144043851052
1_04_13_00,65,2429.0,-13.522814693021159,-71.96144043842669
1_04_13_00,65,2430.0,-13.522814693135498,-71.96144043817638
1_04_13_00,65,2431.0,-13.522814693312466,-71.9614404377842
1_04_13_00,65,2432.0,-13.522814693542376,-71.9614404372721
1_04_13_00,65,2433.0,-13.522814693816613,-71.9614404366595
1_04_13_00,65,2434.0,-13.522814694127549,-71.96144043596371
1_04_13_00,65,2435.0,-13.522814694468435,-71.96144043519995
1_04_13_00,65,2436.0,-13.522814694833311,-71.96144043438166
1_04_13_00,65,2437.0,-13.522814695216937,-71.96144043352076
