               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.026317,            0.043448,                   0,             0.92734,             0.91523,             0.97195,             0.73225,            0.025078,            0.049823,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026354,            0.043373,                   0,             0.93396,             0.91407,             0.97202,             0.73387,            0.025057,            0.049405,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.026216,            0.043084,                   0,             0.92173,             0.92549,             0.97294,             0.73394,            0.024977,            0.049628,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.026212,            0.043844,                   0,             0.93789,             0.91083,             0.97438,             0.73899,            0.024725,            0.048716,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.026339,             0.04385,                   0,             0.93026,             0.91532,             0.97288,             0.73725,            0.024715,            0.048874,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.026294,            0.044439,                   0,             0.92729,             0.92004,             0.97388,             0.73423,            0.024928,            0.049281,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.026271,            0.044326,                   0,             0.92986,             0.91425,             0.97226,             0.73889,            0.024752,            0.049041,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.026136,            0.043502,                   0,             0.93514,             0.91572,             0.97265,             0.73714,            0.024797,            0.049106,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02615,            0.043805,                   0,             0.93383,             0.91493,             0.97438,             0.73778,            0.024721,            0.049001,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.026402,            0.044282,                   0,             0.93042,             0.91906,             0.97261,             0.73864,             0.02467,            0.049221,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.026146,            0.043502,                   0,             0.92488,              0.9192,             0.97282,             0.73755,            0.024682,             0.04918,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.025956,             0.04377,                   0,             0.93651,              0.9157,             0.97367,             0.74107,            0.024687,            0.048734,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025884,            0.043736,                   0,             0.93487,             0.91139,             0.97221,             0.73689,             0.02467,            0.049108,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.026067,            0.043743,                   0,             0.94484,             0.90188,             0.97224,             0.73884,             0.02469,            0.048741,                   0,            0.007459,            0.007459,            0.007459
                  79,             0.02607,            0.044194,                   0,             0.93223,             0.91077,              0.9725,             0.73618,            0.024822,             0.04943,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025862,            0.043221,                   0,             0.92973,             0.91762,             0.97354,             0.74059,             0.02463,            0.048789,                   0,            0.007393,            0.007393,            0.007393
                  81,              0.0255,            0.042875,                   0,             0.93162,             0.91806,              0.9744,             0.74313,            0.024502,            0.048556,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.026347,             0.04398,                   0,             0.93172,             0.91414,             0.97242,              0.7392,            0.024589,            0.048917,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.025785,            0.043319,                   0,             0.94073,             0.90747,             0.97256,             0.74151,            0.024514,            0.048748,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025707,            0.043244,                   0,             0.91686,             0.92944,             0.97224,              0.7386,            0.024575,             0.04915,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.026089,            0.043091,                   0,             0.93574,             0.91434,              0.9736,             0.74268,            0.024514,             0.04851,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.025854,            0.043252,                   0,             0.93451,             0.91493,              0.9732,              0.7421,            0.024534,            0.048565,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.025879,            0.043825,                   0,             0.92366,             0.92227,             0.97225,             0.74105,            0.024541,            0.048923,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.025618,            0.042895,                   0,             0.93817,             0.90914,             0.97216,             0.74111,            0.024477,            0.048725,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.025777,            0.043284,                   0,             0.93277,             0.91855,             0.97363,             0.74288,            0.024411,            0.048688,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.025615,            0.043094,                   0,             0.92413,             0.92607,             0.97255,             0.73859,            0.024555,            0.048889,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.025895,            0.043433,                   0,             0.92798,             0.92141,             0.97273,             0.74167,             0.02452,            0.048705,                   0,             0.00703,             0.00703,             0.00703
                  92,             0.02581,            0.042957,                   0,             0.92954,             0.91906,             0.97284,             0.74026,            0.024479,            0.048808,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.025334,            0.042688,                   0,             0.92916,             0.92024,             0.97256,             0.74274,            0.024428,            0.048647,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.025826,            0.042986,                   0,             0.92718,             0.91945,              0.9724,             0.74276,            0.024419,            0.048692,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.025809,            0.042887,                   0,             0.92749,             0.91983,             0.97296,             0.74267,            0.024452,            0.048626,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.025666,            0.043378,                   0,             0.93085,             0.91709,             0.97269,             0.74178,            0.024433,            0.048554,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.025668,            0.043327,                   0,             0.92721,             0.92096,             0.97128,             0.74184,            0.024372,            0.048341,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.026003,            0.043485,                   0,             0.93287,             0.91736,              0.9728,             0.74147,             0.02439,            0.048431,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.025625,            0.042444,                   0,             0.93559,              0.9112,             0.97341,             0.74265,            0.024386,             0.04842,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.02563,            0.042921,                   0,              0.9295,              0.9195,             0.97346,             0.74338,            0.024381,            0.048685,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.025693,            0.042966,                   0,             0.91233,              0.9334,             0.97242,             0.74389,            0.024289,            0.048622,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.025351,            0.043474,                   0,             0.93942,             0.90963,             0.97339,             0.74406,            0.024317,            0.048453,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.025356,            0.042763,                   0,             0.93565,             0.91277,             0.97378,             0.74511,             0.02427,            0.048497,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.025711,            0.043551,                   0,               0.931,             0.91749,             0.97359,              0.7439,            0.024252,            0.048372,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.025372,            0.042732,                   0,             0.93694,             0.91552,              0.9748,             0.74507,             0.02422,            0.048267,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.02556,            0.043082,                   0,             0.93836,             0.91214,             0.97428,             0.74653,            0.024168,            0.048291,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.025484,            0.042774,                   0,             0.93005,             0.91965,               0.974,             0.74632,            0.024161,            0.048256,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.025364,            0.042186,                   0,             0.93178,              0.9165,             0.97464,             0.74714,            0.024203,            0.048172,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.02537,            0.042543,                   0,             0.93484,             0.91336,              0.9741,             0.74535,            0.024294,            0.048391,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.025568,            0.043258,                   0,               0.935,             0.92024,             0.97491,             0.74473,            0.024259,            0.048243,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.025273,            0.042352,                   0,             0.93653,               0.916,             0.97445,             0.74709,            0.024264,            0.048376,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.025322,            0.042831,                   0,              0.9366,             0.91552,             0.97391,              0.7465,            0.024262,            0.048451,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.025524,             0.04234,                   0,              0.9317,             0.91931,             0.97477,             0.74729,            0.024161,            0.048101,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.025396,            0.042441,                   0,             0.93598,             0.91628,             0.97427,             0.74771,            0.024148,            0.048275,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.025352,            0.042686,                   0,              0.9347,             0.91669,             0.97374,             0.74863,            0.024135,            0.048168,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.02533,            0.043055,                   0,             0.92937,             0.92122,             0.97423,               0.748,            0.024131,            0.048152,                   0,            0.006205,            0.006205,            0.006205
