               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.037077,            0.024788,          0.00059283,             0.82862,             0.79268,               0.866,             0.49268,            0.034796,            0.031145,          0.00056474,           0.0056836,           0.0056836,           0.0056836
                 111,             0.03712,             0.02479,          0.00059245,             0.83177,             0.79175,             0.86402,             0.49203,            0.034667,            0.031204,          0.00055854,            0.005644,            0.005644,            0.005644
                 112,            0.037655,            0.024859,          0.00056976,             0.83251,             0.78331,             0.86054,             0.49079,            0.034993,            0.031358,          0.00053067,           0.0056044,           0.0056044,           0.0056044
                 113,            0.037024,            0.024858,          0.00058855,             0.83617,             0.77317,             0.85953,             0.49084,            0.034936,            0.031304,          0.00054757,           0.0055648,           0.0055648,           0.0055648
                 114,            0.036592,            0.024687,          0.00058337,             0.82001,             0.79582,             0.86086,             0.49187,            0.034581,            0.031244,          0.00054944,           0.0055252,           0.0055252,           0.0055252
                 115,             0.03726,            0.025096,          0.00058935,             0.83928,             0.77928,             0.86287,              0.4939,            0.034848,            0.031275,          0.00055201,           0.0054856,           0.0054856,           0.0054856
                 116,            0.036228,            0.024602,          0.00056447,             0.84321,             0.77492,             0.86204,             0.49296,            0.034803,            0.031316,          0.00054093,            0.005446,            0.005446,            0.005446
                 117,            0.036217,            0.024915,          0.00057147,             0.83028,             0.78615,             0.86198,             0.49429,             0.03449,            0.031103,          0.00054286,           0.0054064,           0.0054064,           0.0054064
                 118,            0.036538,            0.024618,          0.00056383,             0.83958,             0.79124,             0.86572,              0.4946,            0.034638,            0.031044,          0.00053874,           0.0053668,           0.0053668,           0.0053668
                 119,            0.036622,            0.024631,          0.00058597,             0.82737,             0.79964,             0.86667,               0.496,            0.034673,            0.030957,          0.00053926,           0.0053272,           0.0053272,           0.0053272
                 120,            0.036298,            0.024639,          0.00057397,             0.86208,             0.76655,             0.86746,             0.49781,            0.034719,            0.030799,           0.0005389,           0.0052876,           0.0052876,           0.0052876
                 121,             0.03681,            0.024681,          0.00056874,             0.85521,             0.78042,              0.8674,             0.49775,             0.03462,            0.030825,          0.00053034,            0.005248,            0.005248,            0.005248
                 122,            0.036322,            0.024589,          0.00055682,             0.84574,             0.79141,             0.86891,             0.49774,            0.034477,            0.030843,          0.00052302,           0.0052084,           0.0052084,           0.0052084
                 123,            0.037186,            0.025037,          0.00055442,             0.83906,             0.79379,             0.86906,             0.49885,            0.034424,            0.030938,           0.0005204,           0.0051688,           0.0051688,           0.0051688
                 124,            0.036775,            0.024471,          0.00054493,             0.82469,               0.806,             0.86755,             0.49806,            0.034466,            0.031023,          0.00051573,           0.0051292,           0.0051292,           0.0051292
                 125,            0.037211,            0.025043,          0.00055526,             0.85076,             0.77932,              0.8676,             0.49417,             0.03465,            0.030958,          0.00050508,           0.0050896,           0.0050896,           0.0050896
                 126,            0.036793,            0.024603,          0.00054541,             0.86062,             0.77062,             0.86471,             0.49444,            0.034519,            0.030967,          0.00050488,             0.00505,             0.00505,             0.00505
                 127,             0.03643,            0.024469,          0.00054779,             0.83945,             0.79736,             0.86781,             0.49409,            0.034419,            0.030944,          0.00051609,           0.0050104,           0.0050104,           0.0050104
                 128,            0.036498,            0.024305,          0.00055233,             0.84473,             0.78946,             0.86654,             0.49694,            0.034443,            0.030923,           0.0005136,           0.0049708,           0.0049708,           0.0049708
                 129,            0.036253,            0.024377,          0.00052197,             0.84167,             0.79576,             0.86767,              0.4968,            0.034252,            0.030963,          0.00050617,           0.0049312,           0.0049312,           0.0049312
                 130,            0.036348,            0.024377,          0.00053347,              0.8463,             0.79099,              0.8704,              0.4962,            0.034407,            0.030931,          0.00050581,           0.0048916,           0.0048916,           0.0048916
                 131,            0.036451,            0.024334,          0.00054857,             0.85271,             0.78407,             0.86934,             0.49835,            0.034482,            0.030946,           0.0005092,            0.004852,            0.004852,            0.004852
                 132,            0.036146,            0.024318,          0.00053874,             0.85613,             0.77869,             0.86796,             0.49705,            0.034371,            0.030973,           0.0005047,           0.0048124,           0.0048124,           0.0048124
                 133,            0.036721,            0.024154,          0.00055204,              0.8411,             0.78563,             0.86714,             0.49725,            0.034197,            0.030868,          0.00050451,           0.0047728,           0.0047728,           0.0047728
                 134,            0.036572,            0.024163,          0.00053221,             0.85045,             0.78539,             0.86772,             0.49676,            0.034111,            0.030854,          0.00050027,           0.0047332,           0.0047332,           0.0047332
                 135,            0.036259,             0.02417,          0.00051872,             0.84948,             0.78615,             0.86709,             0.49709,            0.034266,            0.031036,          0.00048529,           0.0046936,           0.0046936,           0.0046936
                 136,             0.03647,            0.024366,           0.0005469,             0.85026,             0.78259,             0.86649,             0.49667,            0.034367,             0.03103,          0.00049188,            0.004654,            0.004654,            0.004654
                 137,            0.036416,            0.024082,          0.00052988,             0.84519,             0.78807,             0.86691,             0.49711,            0.034222,            0.030972,          0.00049821,           0.0046144,           0.0046144,           0.0046144
                 138,            0.036077,            0.024396,          0.00052243,             0.86411,             0.77444,             0.86896,             0.49861,            0.034182,            0.030987,          0.00049439,           0.0045748,           0.0045748,           0.0045748
